,,,,,,
Means of Transportation to Work (thousand workers),,,,,,
Means of transportation,1980,1990,2000,2010,2012,
Drive alone,"62,193","84,215","97,102","105,841","106,520",
Car pool,"19,065","15,378","15,635","14,418","14,032",
Public transportation,"6,008","5,891","5,868","6,873","6,968",
     Bus or trolley bus,"3,925","3,445","3,207","3,705","3,695",
     Streetcar or trolley car,na,78,73,90,88,
     Subway or elevated,"1,529","1,755","1,886","2,294","2,389",
     Railroad,554,574,658,744,757,
     Ferryboat,na,37,44,40,39,
Taxicab,167,179,200,164,159,
Walk only,"5,413","4,489","3,759","3,962","3,938",
Work at home,"2,180","3,406","4,184","5,760","5,978",
Other means,703,809,901,"1,216","1,196",
Bicycle,468,467,488,717,786,
Motorcycle,419,237,142,305,317,
Total workers,"96,617","115,070","128,279","139,255","139,894",
Average travel time (minutes),21.7,22.4,25.5,25.2,25.4,
,,,,,,
Data Source,,,,,,
"Oak Ridge National Laboratory. Transportation Energy Data Book #33, Table 8.16. http://cta.ornl.gov/data/index.shtml",,,,,,
Worksheet available at www.afdc.energy.gov/data/,,,,,,
Updated on 08/04/2014,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
